protein1	protein2	label	predict	predict_probability
AT2G01080	TuMV_CI	0	0	0.11133213341236115
AT1G63270	TuMV_NIb	0	0	0.03653394430875778
AT5G59140	TEV_VPg	0	0	0.04482094943523407
AT3G61680	GRV_Q67684	0	0	0.00804872065782547
AT3G48475	TuMV_NIb	0	0	0.006465174723416567
AT5G64750	TuMV_6K1	0	0	0.0010588725563138723
AT3G27090	TEV_P3N-PIPO	0	0	0.001074508880265057
AT3G50610	TuMV_P3	0	0	0.0003901942982338369
AT5G65660	TEV_P3N-PIPO	0	0	0.0006865678587928414
AT1G18290	CaLCuV_Q96702	0	0	0.00028952473076060414
AT1G79810	TuMV_CI	0	0	0.0037534802686423063
AT1G01390	CaLCuV_Q96705	0	0	0.0012594889849424362
AT5G40770	TuMV_NIb	1	0	0.17048244178295135
AT2G40165	TEV_P3N-PIPO	0	0	0.0003657418128568679
AT4G04745	TEV_VPg	0	0	0.001303406315855682
AT4G09550	TuMV_CP	0	0	0.002021386520937085
AT1G15950	TuMV_NIb	1	0	0.3985271751880646
AT2G43470	TEV_P3N-PIPO	0	0	0.00021298235515132546
AT2G01190	TuMV_CI	0	0	0.016193684190511703
AT5G17770	TuMV_NIb	1	1	0.547085702419281
AT1G74830	TuMV_6K2	0	0	0.00047111845924519
AT3G20500	TEV_NIa-Pro	0	0	0.05573190003633499
AT5G36120	TuMV_P3	0	0	0.0016469925176352262
AT5G58003	TuMV_6K1	0	0	0.0006719182129018009
AT2G28200	TEV_P3N-PIPO	0	0	0.0004514646716415882
AT2G39725	CaMV_P03549	0	0	0.004647496156394482
AT4G08868	TuMV_CP	0	0	0.0006536137079820037
AT4G26450	BWYV_Q9WIB9	0	0	0.0022364873439073563
AT1G32570	TEV_NIa-Pro	0	0	0.0004918139311484993
AT5G39590	TuMV_6K2	0	0	0.0007932640728540719
AT1G51740	TGMV_P03562	0	0	0.0022802751045674086
AT5G10910	TEV_NIa-Pro	0	0	0.011098233051598072
AT4G15990	TEV_VPg	0	0	0.007961403578519821
AT2G46940	TuMV_6K2	0	0	0.0005893632187508047
AT2G21530	TGMV_P03562	0	0	0.03788788989186287
AT1G21720	TuMV_P3	0	0	0.036310166120529175
AT1G50450	TEV_NIa-Pro	0	0	0.10490655153989792
AT1G27060	CaLCuV_Q96702	0	0	0.0005831053131259978
AT3G46900	CaLCuV_Q96707	1	1	0.6606041789054871
AT5G02270	TuMV_6K2	0	0	0.0007383687188848853
AT1G02830	TuMV_CI	0	0	0.10186883807182312
AT4G28100	TuMV_CI	0	0	0.02263910509645939
AT5G66090	TEV_VPg	0	1	0.6674509048461914
AT3G23150	TEV_NIa-Pro	0	0	0.0013040327467024326
AT3G54050	TEV_VPg	1	0	0.37780478596687317
AT3G04980	TEV_P3N-PIPO	0	0	0.0005251502152532339
AT1G67840	CaLCuV_Q96707	0	0	0.06186779588460922
AT4G35660	CaLCuV_Q96702	0	0	0.0005477446829900146
AT1G15400	TEV_P3N-PIPO	0	0	0.00036009520408697426
AT1G32630	TEV_VPg	0	0	0.0010510165011510253
AT4G04780	TEV_NIa-Pro	0	0	0.018249424174427986
AT1G64850	TuMV_NIb	1	0	0.05322711169719696
AT2G43240	TEV_NIa-Pro	0	0	0.022642001509666443
AT1G24590	TuMV_6K1	0	0	0.0009260159567929804
AT1G12910	TEV_VPg	0	0	0.1410461664199829
AT1G16570	TuMV_NIb	0	0	0.025531018152832985
AT5G21940	TEV_NIa-Pro	0	0	0.0015238552587106824
AT5G42870	TuMV_NIb	0	0	0.062200941145420074
AT3G59880	TCV_P17460	0	0	0.005299742799252272
AT2G05520	TEV_VPg	0	0	0.04725019633769989
AT5G17320	TuMV_CI	0	0	0.004000396002084017
AT2G43990	TEV_NIa-Pro	0	0	0.0027875115629285574
AT4G31130	CMV_Q66125	0	0	0.11716404557228088
AT3G26934	CaLCuV_Q96705	0	0	0.00038753118133172393
AT2G42450	CMV_P06012	0	0	0.004033805336803198
AT5G39350	TEV_NIa-Pro	0	0	0.0008374401950277388
AT3G20750	CaLCuV_Q96706	0	0	0.004452446475625038
AT1G63310	TuMV_NIb	0	0	0.024468952789902687
AT4G36400	TuMV_CP	0	0	0.0015461405273526907
AT5G50210	TuMV_P3	0	0	0.01106076780706644
AT1G51172	TEV_VPg	0	0	0.0016252943314611912
AT5G35900	TEV_NIa-Pro	0	0	0.009246871806681156
AT3G56680	TEV_P3N-PIPO	0	0	0.0004991785390302539
AT1G10850	TuMV_CI	0	0	0.01847793348133564
ATMG01270	CaMV_P03545	0	0	0.007884439080953598
AT5G42504	TuMV_6K1	0	0	0.0006760731339454651
AT2G29570	TuMV_P3	0	0	0.4879547655582428
AT1G56345	TEV_NIa-Pro	0	0	0.008188498206436634
AT4G04900	TEV_P3N-PIPO	0	0	0.0003787568712141365
AT2G47840	TuMV_6K2	0	0	0.013253636658191681
AT2G27310	TEV_P3N-PIPO	0	0	0.0003547338128555566
AT4G19370	TuMV_P3	0	0	0.000394030794268474
AT3G44690	TuMV_6K1	0	0	0.00041890089050866663
AT3G18830	TuMV_6K2	0	0	0.004880829248577356
AT1G54470	TuMV_NIb	0	0	0.006910644471645355
AT2G15570	CaMV_P03542	0	0	0.03770332783460617
AT2G01554	CaLCuV_Q96702	0	0	0.0004000251065008342
AT3G23440	TEV_NIa-Pro	0	0	0.002162578050047159
AT3G14310	TEV_VPg	0	0	0.3852246105670929
AT1G63105	TuMV_6K1	0	0	0.00025153093156404793
AT1G54930	CaMV_P03545	0	0	0.005193973425775766
AT5G43310	TuMV_P3	0	0	0.0009219302446581423
AT4G32940	TuMV_NIb	1	1	0.8839378356933594
AT3G07580	TGMV_P03562	0	0	0.004033341538161039
AT3G62620	TuMV_6K2	0	0	0.0003409909550100565
AT4G25620	TEV_VPg	0	0	0.0017518621170893312
AT3G02400	TEV_VPg	0	0	0.0005846964195370674
AT1G63750	PVX_P07698	0	0	0.0010880464687943459
AT3G52570	TuMV_6K1	0	0	0.000554325059056282
AT2G23940	TuMV_CP	0	0	0.005563164595514536
AT1G47750	TEV_P3N-PIPO	0	0	0.0007712384685873985
AT5G15840	TEV_VPg	0	0	0.0011751435231417418
AT2G20921	TuMV_6K2	0	0	0.00045594570110552013
AT1G32540	TEV_NIa-Pro	0	0	0.02116098441183567
AT5G66400	TuMV_NIb	0	0	0.07907663285732269
AT3G11680	TEV_P3N-PIPO	0	0	0.0005407233838923275
AT4G26640	TEV_VPg	0	0	0.0023964105639606714
AT1G78690	TEV_P3N-PIPO	0	0	0.0002577853447292
AT4G39320	CaLCuV_Q96702	0	0	0.00027982841129414737
AT2G37660	TGMV_P03562	0	0	0.07081420719623566
AT3G11405	TuMV_6K2	0	0	0.0004217008827254176
AT1G13220	TuMV_6K1	0	0	0.00034328692709095776
AT2G24600	TuMV_NIb	0	0	0.022313516587018967
AT1G68238	TEV_P3N-PIPO	0	0	0.0004955593030899763
AT1G69920	TuMV_6K2	0	0	0.0015457444824278355
AT5G56770	TuMV_6K2	0	0	0.0007918166811577976
AT1G72560	TuMV_P3	0	0	0.0030599937308579683
AT3G58600	TEV_P3N-PIPO	0	0	0.0005249729729257524
AT4G16745	TuMV_6K1	0	0	0.0006361717823892832
AT3G54230	CaLCuV_Q96702	0	0	0.0003880707372445613
AT4G28660	TuMV_CP	0	0	0.001122944406233728
AT1G72460	TEV_VPg	0	0	0.005276481620967388
AT2G35555	TuMV_6K1	0	0	0.0007786393398419023
AT1G20816	TuMV_P3	0	0	0.0020892354659736156
AT3G20250	CMV_Q66125	0	0	0.06558817625045776
AT3G24610	TEV_NIa-Pro	0	0	0.0017831389559432864
AT4G36400	TEV_P3N-PIPO	0	0	0.0005027048173360527
AT3G28710	TEV_P3N-PIPO	0	0	0.004424274433404207
