Protein1	Protein2	Score1	Score2	Score3	Score4	Score5	Mean_Score
AT5G06043	TEV_P3N-PIPO	0.0007539454	0.0013531529	0.00070853543	0.0005815457	0.00025377746	0.00073019136
AT3G58280	TuMV_CP	0.00075295096	0.000669434	0.00054379896	0.0005800151	0.0004594579	0.0006011314
AT5G40440	TuMV_6K2	0.00045458495	0.0005949272	0.0004622886	0.0006222904	0.00056802423	0.0005404231
AT5G16540	TuMV_CP	0.0015592196	0.0005041218	0.0013318406	0.0005740235	0.0012129945	0.00103644
AT3G21490	TuMV_6K1	0.0004510975	0.00038423532	0.0009139586	0.000600355	0.00052754127	0.0005754375
AT2G39440	TuMV_NIb	0.06277383	0.11289187	0.105409704	0.08522867	0.09737627	0.09273608
AT1G02205	TEV_VPg	0.027450316	0.019726548	0.026604136	0.047271762	0.023729432	0.028956437
AT4G03160	TEV_VPg	0.0004959946	0.0011359444	0.0007830671	0.0003860117	0.0003389072	0.000627985
AT1G13930	TuMV_P3	0.004791107	0.0035155253	0.0013866342	0.0030503906	0.003757714	0.0033002743
AT1G54210	TuMV_CI	0.08619911	0.0690948	0.043415975	0.1388365	0.10756585	0.08902245
AT1G18900	TuMV_6K1	0.0008338458	0.0006141145	0.0006579201	0.0010749758	0.00041017585	0.0007182064
AT1G64960	TuMV_6K2	0.00061131176	0.00075409876	0.00037552393	0.0004971381	0.0006988641	0.0005873873
AT3G04590	TEV_VPg	0.0034636622	0.0020916597	0.0038669968	0.0029912002	0.0033217552	0.003147055
AT1G21050	TuMV_NIb	0.036487848	0.0058476706	0.025680518	0.014554458	0.017786479	0.020071395
AT2G33010	TuMV_NIb	0.02258738	0.006077194	0.015242015	0.016638251	0.011279849	0.014364938
AT5G45040	TuMV_NIb	0.60317004	0.46652213	0.2529987	0.4334139	0.51851535	0.45492402
AT2G02550	TEV_NIa-Pro	0.0031317766	0.0065950425	0.003851494	0.0028102146	0.0029002083	0.0038577474
AT5G42470	TuMV_NIb	0.014810469	0.013948664	0.032585137	0.026795892	0.026054876	0.022839006
AT5G35360	TuMV_NIb	0.8022809	0.9659701	0.9710113	0.73993564	0.9602919	0.88789797
AT2G16360	TuMV_6K1	0.007512	0.0039330306	0.005103993	0.008084831	0.010531888	0.0070331483
AT4G13560	TuMV_CI	0.018602187	0.022456136	0.023983352	0.019950826	0.023425778	0.021683656
AT2G18920	CMV_Q00271	0.000563184	0.001017692	0.0011368034	0.0009659989	0.00064031663	0.00086479896
AT2G01050	TuMV_NIb	0.03220485	0.08401615	0.05842584	0.019755311	0.025888834	0.044058196
AT5G57760	TuMV_CI	0.0016850877	0.0019027701	0.001492742	0.001433281	0.0013410379	0.0015709836
AT1G62130	TuMV_CI	0.0026824267	0.0053869253	0.002165689	0.0019916375	0.0048288507	0.003411106
AT1G55917	CabLCV_Q96706	0.008582328	0.0021014411	0.004377689	0.0089289	0.008669533	0.0065319785
AT1G21790	TuMV_P3	0.0013311476	0.0009256993	0.0030027567	0.002125108	0.0010404066	0.0016850237
AT1G76952	TEV_NIa-Pro	0.0013327225	0.0016781954	0.00083152665	0.0013018096	0.0016775754	0.0013643659
AT1G22520	TEV_VPg	0.024379665	0.0063354415	0.012623921	0.004539537	0.010680559	0.011711826
AT1G64585	TuMV_CP	0.00067733525	0.0006886737	0.0009226231	0.0005230877	0.0008537426	0.0007330924
AT2G44050	TuMV_6K1	0.0010831279	0.0011039028	0.0010196398	0.0014671966	0.0009803949	0.0011308525
AT2G42040	TEV_P3N-PIPO	0.0009965934	0.00071524706	0.0008108021	0.0005403048	0.00042597184	0.0006977839
AT5G17640	TuMV_CI	0.008140903	0.0017343672	0.003184696	0.0030406525	0.0026628836	0.0037527005
AT5G57400	TEV_P3N-PIPO	0.00023979133	0.00037113696	0.00044482388	0.00046035156	0.0004471564	0.00039265203
AT2G37300	TuMV_CP	0.0003741054	0.00025990728	0.000134379	0.00040891714	0.00042033492	0.00031952877
AT3G19020	TuMV_CP	0.0016471109	0.0030005432	0.0021449581	0.0021063546	0.0032518483	0.0024301629
AT5G19550	TEV_NIa-Pro	0.713268	0.79304606	0.65603745	0.76258934	0.69194716	0.72337765
AT2G24696	TEV_VPg	0.0009963096	0.0014012547	0.00091475924	0.00067444466	0.00068811834	0.00093497726
AT1G74820	TEV_NIa-Pro	0.10506404	0.17596121	0.23671453	0.014567189	0.074457675	0.12135293
AT5G17620	CabLCV_Q96705	0.00039666763	0.0007516096	0.00053172983	0.00061789167	0.00081520405	0.0006226206
AT1G55207	TuMV_NIb	0.0025863084	0.0014539375	0.0016863468	0.003316504	0.0015933439	0.0021272881
AT5G32613	TuMV_P3	0.0010516569	0.0012724603	0.00076946785	0.0010050639	0.0006422205	0.0009481739
AT1G68270	TEV_P3N-PIPO	0.00022243481	0.0002335784	0.00028277072	0.00016429696	0.00022423285	0.00022546275
AT1G28520	TuMV_NIb	0.7077684	0.051963195	0.83483636	0.8001576	0.7248951	0.62392414
AT1G78460	CabLCV_Q96707	0.11004204	0.07518335	0.07001379	0.08240118	0.08092513	0.0837131
AT1G80530	PVX_P07698	0.0024684055	0.0017137129	0.0043133036	0.002759275	0.004677074	0.003186354
AT4G39850	TuMV_6K1	0.00065649167	0.0004710711	0.0004477399	0.0008272881	0.0006506221	0.00061064254
AT3G01860	BWYV_Q9WIB9	0.0007310358	0.0016033701	0.0012411434	0.0009196036	0.000741271	0.0010472848
AT5G45095	TuMV_NIb	0.0056960657	0.00650811	0.008552279	0.009398386	0.003980793	0.0068271263
AT1G63940	TEV_P3N-PIPO	0.00081166014	0.00062606024	0.0009277486	0.00081308343	0.0009305351	0.0008218175
AT5G15820	TEV_VPg	0.0012019954	0.0017417172	0.0015798174	0.0014904034	0.0029694438	0.0017966755
AT3G09750	TEV_NIa-Pro	0.0021818837	0.005477074	0.0010566994	0.0031602895	0.0016322186	0.002701633
AT1G06760	CabLCV_Q96705	0.0041437657	0.003991349	0.0035436633	0.0025074326	0.0032430473	0.0034858515
AT3G02470	TYLCSaV_P27266	0.009325656	0.018804185	0.010651858	0.0052452865	0.012670819	0.011339561
AT3G27730	CabLCV_Q96702	0.0002384478	0.00025161152	0.00024840623	0.00023787649	0.00021632262	0.00023853294
AT1G54150	TuMV_6K2	0.00037185947	0.0005262445	0.0007342873	0.0007124555	0.0008068437	0.0006303381
AT2G27730	TEV_VPg	0.0468473	0.0988043	0.078250885	0.15576261	0.114839114	0.09890084
